,swear_word,language,script
237,fooker,english,latin
238,fuck,english,latin
239,fucka,english,latin
240,fucked,english,latin
241,fucker,english,latin
242,fuckers,english,latin
243,fuckhead,english,latin
244,fuckheads,english,latin
245,fuckin,english,latin
246,fucking,english,latin
247,fuckings,english,latin
248,fuckingshitmotherfucker,english,latin
249,fuckme,english,latin
250,fucks,english,latin
251,fuckwhit,english,latin
252,fuckwit,english,latin
253,fudge packer,english,latin
254,fudgepacker,english,latin
255,fuk,english,latin
256,fuker,english,latin
257,fukker,english,latin
258,fukkin,english,latin
259,fuks,english,latin
260,fukwhit,english,latin
261,fukwit,english,latin
262,fux,english,latin
263,fux0r,english,latin
264,gaand masti,hindi,latin
265,gaandmasti,hindi,latin
266,gaandu,hindi,latin
267,gadhe ki aulad,hindi,latin
268,gadhe ki zat,hindi,latin
269,gand marana,hindi,latin
270,gand mari,hindi,latin
271,gand mari ke,hindi,latin
272,gand marna,hindi,latin
273,gand maru,hindi,latin
274,gand phata,hindi,latin
275,gand phati,hindi,latin
276,gand phaton,hindi,latin
277,gand phatu,hindi,latin
278,gandi,hindi,latin
279,gandmarana,hindi,latin
280,gandmari,hindi,latin
281,gandmarna,hindi,latin
282,gandmaru,hindi,latin
283,gandphata,hindi,latin
284,gandphati,hindi,latin
285,gandphaton,hindi,latin
286,gandphatu,hindi,latin
287,gandu,hindi,latin
288,gangbang,english,latin
289,gangbanged,english,latin
290,gangbangs,english,latin
291,gaylord,english,latin
292,gaysex,english,latin
293,ghassad,hindi,latin
294,ghasti,hindi,latin
295,goatse,english,latin
296,god-dam,english,latin
297,god-damned,english,latin
298,goddamn,english,latin
299,goddamned,english,latin
300,haram zada,hindi,latin
301,harami,hindi,latin
302,haramia,hindi,latin
303,haramkhor,hindi,latin
304,haramzada,hindi,latin
305,haramzadi,hindi,latin
306,hardcoresex,english,latin
307,hell,english,latin
308,heshe,english,latin
309,hijade,hindi,latin
310,hijda,hindi,latin
311,hijra,hindi,latin
312,hoar,english,latin
313,hoare,english,latin
314,hoer,english,latin
315,homo,english,latin
316,hore,english,latin
317,horniest,english,latin
318,horny,english,latin
319,hotsex,english,latin
320,jack-off,english,latin
321,jackoff,english,latin
322,jap,english,latin
323,jerk-off,english,latin
324,jhaant,hindi,latin
325,jigolo,hindi,latin
326,jism,english,latin
327,jiz,english,latin
328,jizm,english,latin
329,jizz,english,latin
330,kamina,hindi,latin
331,kamini,hindi,latin
332,kawk,english,latin
333,knob,english,latin
334,knobead,english,latin
335,knobed,english,latin
336,knobend,english,latin
337,knobhead,english,latin
338,knobjocky,english,latin
339,knobjokey,english,latin
340,kock,english,latin
341,kondum,english,latin
342,kondums,english,latin
343,kum,english,latin
344,kummer,english,latin
345,kumming,english,latin
346,kums,english,latin
347,kunilingus,english,latin
348,kutte ki zat,hindi,latin
349,l3i+ch,english,latin
350,l3itch,english,latin
351,labia,english,latin
352,land marike,hindi,latin
353,lavda,hindi,latin
354,lawda,hindi,latin
355,lmfao,english,latin
356,loda,hindi,latin
357,lomdi ki aulad,hindi,latin
358,lomdi ki zat,hindi,latin
359,lund,hindi,latin
360,lundwa,hindi,latin
361,lust,english,latin
362,lusting,english,latin
363,m0f0,english,latin
364,m0fo,english,latin
365,m45terbate,english,latin
366,ma5terb8,english,latin
367,ma5terbate,english,latin
368,marana,hindi,latin
369,marane,hindi,latin
370,marani,hindi,latin
371,masochist,english,latin
372,master-bate,english,latin
373,masterb8,english,latin
374,masterbat*,english,latin
375,masterbat3,english,latin
376,masterbate,english,latin
377,masterbation,english,latin
378,masterbations,english,latin
379,masturbate,english,latin
380,mendhak ki aulad,hindi,latin
381,mendhak ki zat,hindi,latin
382,mo-fo,english,latin
383,mof0,english,latin
384,mofo,english,latin
385,mothafuck,english,latin
386,mothafucka,english,latin
387,mothafuckas,english,latin
388,mothafuckaz,english,latin
389,mothafucked,english,latin
390,mothafucker,english,latin
391,mothafuckers,english,latin
392,mothafuckin,english,latin
393,mothafucking,english,latin
394,mothafuckings,english,latin
395,mothafucks,english,latin
396,mother fucker,english,latin
397,motherfuck,english,latin
398,motherfucked,english,latin
399,motherfucker,english,latin
400,motherfuckers,english,latin
401,motherfuckin,english,latin
402,motherfucking,english,latin
403,motherfuckings,english,latin
404,motherfuckka,english,latin
405,motherfucks,english,latin
406,muff,english,latin
407,muth marna,hindi,latin
408,mutha,english,latin
409,muthafecker,english,latin
410,muthafuckker,english,latin
411,muther,english,latin
412,mutherfucker,english,latin
413,muthi,hindi,latin
414,mutthal,hindi,latin
415,n1gga,english,latin
416,n1gger,english,latin
417,nazi,english,latin
418,nigg3r,english,latin
419,nigg4h,english,latin
420,nigga,english,latin
421,niggah,english,latin
422,niggas,english,latin
423,niggaz,english,latin
424,nigger,english,latin
425,niggers,english,latin
426,nob,english,latin
427,nob jokey,english,latin
428,nobhead,english,latin
429,nobjocky,english,latin
430,nobjokey,english,latin
431,numbnuts,english,latin
432,nutsack,english,latin
433,orgasim,english,latin
434,orgasims,english,latin
435,orgasm,english,latin
436,orgasms,english,latin
437,p0rn,english,latin
438,pawn,english,latin
439,pecker,english,latin
440,penis,english,latin
441,penisfucker,english,latin
442,phonesex,english,latin
443,phuck,english,latin
444,phuk,english,latin
445,phuked,english,latin
446,phuking,english,latin
447,phukked,english,latin
448,phukking,english,latin
449,phuks,english,latin
450,phuq,english,latin
451,pigfucker,english,latin
452,pimpis,english,latin
453,piss,english,latin
454,pissed,english,latin
455,pisser,english,latin
456,pissers,english,latin
457,pisses,english,latin
458,pissflaps,english,latin
459,pissin,english,latin
460,pissing,english,latin
461,pissoff,english,latin
462,poop,english,latin
463,porn,english,latin
464,porno,english,latin
465,pornography,english,latin
466,pornos,english,latin
467,prick,english,latin
468,pricks,english,latin
469,pron,english,latin
470,pube,english,latin
471,pusse,english,latin
472,pussi,english,latin
473,pussies,english,latin
474,pussy,english,latin
475,pussys,english,latin
476,raand,hindi,latin
477,rand,hindi,latin
478,randhwa,hindi,latin
479,randi,hindi,latin
480,randibazaar,hindi,latin
481,randibazar,hindi,latin
482,randwa,hindi,latin
483,rectum,english,latin
484,retard,english,latin
485,rimjaw,english,latin
486,rimming,english,latin
487,s hit,english,latin
488,s.o.b.,english,latin
489,s_h_i_t,english,latin
490,sadist,english,latin
491,schlong,english,latin
492,screwing,english,latin
493,scroat,english,latin
494,scrote,english,latin
495,scrotum,english,latin
496,semen,english,latin
497,sex,english,latin
498,sh!+,english,latin
499,sh!t,english,latin
500,sh1t,english,latin
501,shag,english,latin
502,shagger,english,latin
503,shaggin,english,latin
504,shagging,english,latin
505,shemale,english,latin
506,shi+,english,latin
507,shit,english,latin
508,shitdick,english,latin
509,shite,english,latin
510,shited,english,latin
511,shitey,english,latin
512,shitfuck,english,latin
513,shitfull,english,latin
514,shithead,english,latin
515,shiting,english,latin
516,shitings,english,latin
517,shits,english,latin
518,shitted,english,latin
519,shitter,english,latin
520,shitters,english,latin
521,shitting,english,latin
522,shittings,english,latin
523,shitty,english,latin
524,skank,english,latin
525,slut,english,latin
526,sluts,english,latin
527,smegma,english,latin
528,smut,english,latin
529,snatch,english,latin
530,son-of-a-bitch,english,latin
531,spac,english,latin
532,spunk,english,latin
533,suar ki aulad,hindi,latin
534,suar ki zat,hindi,latin
535,t1tt1e5,english,latin
536,t1tties,english,latin
537,takke,hindi,latin
538,tatte,hindi,latin
539,tatti,hindi,latin
540,teets,english,latin
541,teez,english,latin
542,testical,english,latin
543,testicle,english,latin
544,tit,english,latin
545,titfuck,english,latin
546,tits,english,latin
547,titt,english,latin
548,tittie5,english,latin
549,tittiefucker,english,latin
550,titties,english,latin
551,tittyfuck,english,latin
552,tittywank,english,latin
553,titwank,english,latin
554,tosser,english,latin
555,turd,english,latin
556,tw4t,english,latin
557,twat,english,latin
558,twathead,english,latin
559,twatty,english,latin
560,twunt,english,latin
561,twunter,english,latin
562,ullu ki aulad,hindi,latin
563,ullu ki zat,hindi,latin
564,v14gra,english,latin
565,v1gra,english,latin
566,vagina,english,latin
567,viagra,english,latin
568,vulva,english,latin
569,w00se,english,latin
570,wang,english,latin
571,wank,english,latin
572,wanker,english,latin
573,wanky,english,latin
574,whoar,english,latin
575,whore,english,latin
576,willies,english,latin
577,willy,english,latin
578,xrated,english,latin
579,xxx,english,latin
580,",hod",hindi,latin
581,c h o d,hindi,latin
582,ch(d,hindi,latin
583,",,hod",hindi,latin
584,land_,hindi,latin
585,l@nd,hindi,latin
586,l a n d,hindi,latin
587,land),hindi,latin
588,"lode,",hindi,latin
589,l(de,hindi,latin
590,l o d e,hindi,latin
591,l ( d e?,hindi,latin
592,l o dd e,hindi,latin
593,5h1*(,english,latin
594,5 # 1 t,english,latin
595,5h1t^,english,latin
596,55h1t,english,latin
597,"5 h ! *,",english,latin
598,5 h i t,english,latin
599,5 h i t@,english,latin
600,5hiit,english,latin
601,god,english,latin
602,g o d,english,latin
603,g o  d_,english,latin
604,god?,english,latin
605,aa 5 5,english,latin
606,a55&,english,latin
607,@55*,english,latin
608,a _ s _ s&,english,latin
609,a _ s _ s,english,latin
610,a _ s _ s{,english,latin
611,a n a l,english,latin
612,"a n a ll,",english,latin
613,anal%,english,latin
614,@nuus,english,latin
615,anus@,english,latin
616,@ n u s],english,latin
617,anus[,english,latin
618,ar5%;,english,latin
619,a r 5 e;,english,latin
620,a r 5 %,english,latin
621,arrsse,english,latin
622,@rrse,english,latin
623,arrs%%,english,latin
624,a r r  s e,english,latin
625,a r s e,english,latin
626,a r $ e,english,latin
627,@ss},english,latin
628,a $ s],english,latin
629,a s s,english,latin
630,"ass-fu,keer.",english,latin
631,a$s-fucker,english,latin
632,@$s-fuucker^,english,latin
633,"ass-fu,ker",english,latin
634,@ss-fucker,english,latin
635,"assees,",english,latin
636,@sses,english,latin
637,ass%s{,english,latin
638,@ssses%,english,latin
639,a s s  e s,english,latin
640,@ssfuck%r,english,latin
641,@sss^ucker,english,latin
642,assfucker?,english,latin
643,"a s s f _ , k e r",english,latin
644,a s s f u c k e r,english,latin
645,aassfu;ka,english,latin
646,a$sfukkka,english,latin
647,assfukka*,english,latin
648,ass^ukkka,english,latin
649,a $ s h o l e,english,latin
650,asshole_,english,latin
651,a s s h o l e,english,latin
652,@ss#ole_,english,latin
653,@ssholes?,english,latin
654,@ssholees,english,latin
655,@ s s h ( l e s>,english,latin
656,a $ s h o l % s,english,latin
657,a s s h o l e s,english,latin
658,@ s s w h ( l e,english,latin
659,@ s s w h o l e,english,latin
660,a$swhol%,english,latin
661,a $ s w h o l e),english,latin
662,b ! t c h,english,latin
663,b!tcc#,english,latin
664,b 0 0 b  s,english,latin
665,"b 0 0 b s,",english,latin
666,b00bs^,english,latin
667,b 0 0 b s,english,latin
668,"b17,h",english,latin
669,b 1 7 c #,english,latin
670,b1tc#(,english,latin
671,"b1t,h",english,latin
672,b 1 t c h,english,latin
673,b 1 t c #,english,latin
674,b1*ch,english,latin
675,b a a b l e?,hindi,latin
676,b a a b l e,hindi,latin
677,b @ d i r>,hindi,latin
678,b a d i r&,hindi,latin
679,b a d i r,hindi,latin
680,badiir=,hindi,latin
681,b a d ! r c h a n d,hindi,latin
682,b a d i r c # a n d,hindi,latin
683,badircchand,hindi,latin
684,bakland+,hindi,latin
685,b@klannd,hindi,latin
686,b@kland:,hindi,latin
687,baakland,hindi,latin
688,bakland>,hindi,latin
689,ba;land,hindi,latin
690,b @ k l a n d,hindi,latin
691,ba;ri ki aulad,hindi,latin
692,b @ k r i   k i   a u l a d%,hindi,latin
693,b a k r i   k i   a u l  a d,hindi,latin
694,"bakri ki aulad,",hindi,latin
695,bakkri ki za*,hindi,latin
696,bakri ki za*},hindi,latin
697,b a k r i   k i   z a t@,hindi,latin
698,"bakri ki zat,",hindi,latin
699,ballbaag,english,latin
700,b a l l b a g-,english,latin
701,b @  l l b a g,english,latin
702,b@@llbag,english,latin
703,balls&,english,latin
704,b a  l l s&,english,latin
705,"b a l l $,",english,latin
706,b  a l l $,english,latin
707,b a l l s,english,latin
708,bb a l l s a c k,english,latin
709,b a l l s a c k,english,latin
710,ball$ac;,english,latin
711,b a l l s a c  ;,english,latin
712,ballsacck,english,latin
713,b a n d a r   k i   a u l a d!,hindi,latin
714,b@ndar ki aulad,hindi,latin
715,bandar ki a_lad,hindi,latin
716,bandar ki zat),hindi,latin
717,bandar ki zat$,hindi,latin
718,b@ndar ki zat,hindi,latin
719,bandar ;i za*,hindi,latin
720,ba$tard^,english,latin
721,b a $ t a r d,english,latin
722,bastard_,english,latin
723,b@staard],english,latin
724,b%ast!al,english,latin
725,bb%astial,english,latin
726,b e @ $  * i a l,english,latin
727,b e a s * ii a l,english,latin
728,"b e @ s t i a l i t y,",english,latin
729,b e a $ t i a l i t y,english,latin
730,beastiaality,english,latin
731,b e a $ t ii a l i t y,english,latin
732,bea$t!ality,english,latin
733,b % l l e n d@,english,latin
734,b%llend,english,latin
735,beellend*,english,latin
736,bellend},english,latin
737,bes*ial),english,latin
738,b e s * i a l,english,latin
739,b % s t i a l,english,latin
740,b e $ t i @ l,english,latin
741,best!ality,english,latin
742,b%%s*iality,english,latin
743,be$tialitty,english,latin
744,b%s*iality,english,latin
745,b # a d w a!,hindi,latin
746,bhadwa$,hindi,latin
747,b h a d w a,hindi,latin
748,b#adwa,hindi,latin
749,bh@dwa,hindi,latin
750,b h a d w a>,hindi,latin
751,b # @ d w a},hindi,latin
752,bbhadwa,hindi,latin
753,bh@dwapanti,hindi,latin
754,b h a d w a p a n t i,hindi,latin
755,b#adwapanti,hindi,latin
756,b h a d w e*,hindi,latin
757,bhadwe{,hindi,latin
758,bh@dw%},hindi,latin
759,bhadw%,hindi,latin
760,b#adwi^,hindi,latin
761,b h a d w i[,hindi,latin
762,bhadw!|,hindi,latin
763,b # a d w i*,hindi,latin
764,bbh@dwi,hindi,latin
765,b h a d w i,hindi,latin
766,bh@dwi,hindi,latin
767,b#adwon,hindi,latin
768,bhadwon^,hindi,latin
769,bh@dwon,hindi,latin
770,b h @ ! n ss   ; i   a u l a d,hindi,latin
771,b h a i n s   k i   a u l a d,hindi,latin
772,bhains ;i aulad,hindi,latin
773,bha!n$ ki aulad[,hindi,latin
774,b#ains ;i  za*,hindi,latin
775,b h a ! n s   k i   z a t,hindi,latin
776,bha!ns ki zat,hindi,latin
777,bhainss ;i zat,hindi,latin
778,b#andi,hindi,latin
779,b h a n d i,hindi,latin
780,b # a n d i,hindi,latin
781,bhanndi,hindi,latin
782,bhandwwa,hindi,latin
783,b h a n d w a,hindi,latin
784,b # a n d w a|,hindi,latin
785,b h a n d w a<,hindi,latin
786,bh@ndwa,hindi,latin
787,bhandwaa$,hindi,latin
788,bhed kii @_lad(,hindi,latin
789,b # e d   k i   a u l a d,hindi,latin
790,bhed k! @ulad,hindi,latin
791,b h e d   k i   @ u l a d,hindi,latin
792,b h  e d   k i   a u l a d,hindi,latin
793,b # e d   ; i   z a t,hindi,latin
794,bh%d ki zat,hindi,latin
795,b h e d   ; i   z a t{,hindi,latin
796,b # e d   k i   z a t,hindi,latin
797,bh%d k! zat,hindi,latin
798,b h ( n s r i   w a l a,hindi,latin
799,bh(nsri wala,hindi,latin
800,b  h o n $ r i   w a l a,hindi,latin
801,b h o n s r ii   w a l a,hindi,latin
802,b#onsri waala=,hindi,latin
803,bh(sdd!,hindi,latin
804,bb h o s d i,hindi,latin
805,b#osdi%,hindi,latin
806,b h o $ d i),hindi,latin
807,bh($di%,hindi,latin
808,bh(sdi wala,hindi,latin
809,bhosdi walla,hindi,latin
810,b#o$d! wala,hindi,latin
811,bhosdi w@la&,hindi,latin
812,b # o s d i k %,hindi,latin
813,bhosdik%,hindi,latin
814,bh(sdik%,hindi,latin
815,bh(sdike,hindi,latin
816,b h o s d ! k e*,hindi,latin
817,bho$ri wala<,hindi,latin
818,b h ( s r i    w a l a,hindi,latin
819,b i +  c h),english,latin
820,b!+ch=,english,latin
821,b i + c h,english,latin
822,bi+c#$,english,latin
823,bi+ch>,english,latin
824,b i a t c #,english,latin
825,biatcc#=,english,latin
826,b i a t c h,english,latin
827,b!atch,english,latin
828,bia**ch,english,latin
829,b i l l i   ; i   a u l a d,hindi,latin
830,b!lli ki aulad,hindi,latin
831,b!lli ki @ulad,hindi,latin
832,b!lli ;i aulad,hindi,latin
833,billi ki aulad-,hindi,latin
834,"billi ;i zat,",hindi,latin
835,billi ki z@t,hindi,latin
836,billi ki z@*,hindi,latin
837,b i t c #,english,latin
838,bittch{,english,latin
839,b i t c h.,english,latin
840,b i t cc # e r,english,latin
841,b!tcher,english,latin
842,bi**cher[,english,latin
843,b i * c h %% r#,english,latin
844,"bi*,her$",english,latin
845,b i t c h % r s,english,latin
846,b ! t c  h e r s,english,latin
847,"bit,hers",english,latin
848,b i t c h e $,english,latin
849,b!tches,english,latin
850,"b i t , h e s",english,latin
851,b!tc#es,english,latin
852,bitch%s,english,latin
853,"bit,hhin",english,latin
854,"bitcchin,",english,latin
855,bitc#in,english,latin
856,bitcc#in|,english,latin
857,b i tt c h i n?,english,latin
858,b!tching,english,latin
859,b i * c h i n g,english,latin
860,b i t c h i n g>,english,latin
861,bi*ching,english,latin
862,b i t c # i n g,english,latin
863,bl(ody,english,latin
864,bbloody,english,latin
865,b l o o d y=,english,latin
866,b l o w   jj o b<,english,latin
867,bl(w job),english,latin
868,b l o w    j o b,english,latin
869,blow job+,english,latin
870,b l ( w   j o b),english,latin
871,b ll ( w j o b,english,latin
872,bl(wjob,english,latin
873,blowjob$,english,latin
874,bl(wjobs@,english,latin
875,b l o w j o b s,english,latin
876,b l o w  j o b s,english,latin
877,b o i o l a s,english,latin
878,boiol@s#,english,latin
879,bo!olas?,english,latin
880,boiol@s,english,latin
881,b o i o l a ${,english,latin
882,b o l l o c k,english,latin
883,b(lloc;,english,latin
884,bollock-,english,latin
885,bolloc;,english,latin
886,bollloc;#,english,latin
887,b ( l l o k,english,latin
888,b o l l o k,english,latin
889,b o n e r,english,latin
890,b(n%r:,english,latin
891,b o n e r?,english,latin
892,booob%,english,latin
893,b(ob^,english,latin
894,boobb|,english,latin
895,b ( o b l e y,hindi,latin
896,b o o b l e y,hindi,latin
897,booblley,hindi,latin
898,b o o  b l e y,hindi,latin
899,boobss{,english,latin
900,b  o o b s,english,latin
901,b o o b s,english,latin
902,b ( o b $,english,latin
903,b o o b s=,english,latin
904,booob$,english,latin
905,booobbs,english,latin
906,b o o o b $,english,latin
907,b o o o b s.,english,latin
908,b o o oo b $),english,latin
909,boooobs.,english,latin
910,boooobs^,english,latin
911,boooob$,english,latin
912,boooobs>,english,latin
913,b(oooobs:,english,latin
914,booooob$,english,latin
915,booooobs_,english,latin
916,b o o o o o b $,english,latin
917,b(oooooobs[,english,latin
918,b o o o o o o o b s,english,latin
919,b o o o o o o o b s<,english,latin
920,b r % a s t s,english,latin
921,brea$ts,english,latin
922,b r e a s * s%,english,latin
923,b r e a s t s,english,latin
924,"bu,eta)",english,latin
925,buccet@|,english,latin
926,b_ceta,english,latin
927,"bu,eta",english,latin
928,"bu,e*a",english,latin
929,b u g g e r,english,latin
930,bugg%r,english,latin
931,bugger},english,latin
932,bbum{,english,latin
933,bbum,english,latin
934,b _ m,english,latin
935,b u m,english,latin
936,bund@,hindi,latin
937,bund:,hindi,latin
938,bund$,hindi,latin
939,b _ n d,hindi,latin
940,b u n d*,hindi,latin
941,b u n n y   f u c k e r],english,latin
942,b u n n y   ^ u c k % r?,english,latin
943,bunny fuck%r&,english,latin
944,b u n n y   f u c k e r,english,latin
945,b u r<,hindi,latin
946,b_r,hindi,latin
947,b u t t,english,latin
948,b u t t%,english,latin
949,b u t t-,english,latin
950,butthole.,english,latin
951,b_*thole[,english,latin
952,bu*thole#,english,latin
953,bb u * t h o l e,english,latin
954,"b u t t m u , h",english,latin
955,b _ t t m u c h,english,latin
956,"buttmu,h,",english,latin
957,b_ttpl__g^,english,latin
958,b u t t p l u g-,english,latin
959,b u t t p l u g,english,latin
960,b_ttplug,english,latin
961,b u u b l e,hindi,latin
962,buuble-,hindi,latin
963,buuubl%,hindi,latin
964,c 0 c k,english,latin
965,cc 0 c k,english,latin
966,", 0 cc k",english,latin
967,c0ck&,english,latin
968,",0cksucker",english,latin
969,c 0 c k s u c k e r,english,latin
970,c 0 c k s u c k e r>,english,latin
971,c0ck$ucker,english,latin
972,c0ck$ucker},english,latin
973,", a r p e t   m u n c h e r?",english,latin
974,carpe* muncher,english,latin
975,carp%* muncher,english,latin
976,c a r p % t   m u n c h e r+,english,latin
977,c a r p e t   m u n c h e r.,english,latin
978,c@wk,english,latin
979,c @ w ;,english,latin
980,",awk[",english,latin
981,cc#akka.,hindi,latin
982,c h a ; k a,hindi,latin
983,c h a ;; k a-,hindi,latin
984,c#akka,hindi,latin
985,chakka=,hindi,latin
986,c h a k k a,hindi,latin
987,c h i n a a l,hindi,latin
988,c h ! n a a l*,hindi,latin
989,c h ! n a a l{,hindi,latin
990,c # i n a a l,hindi,latin
991,chin@al,hindi,latin
992,c#in@al,hindi,latin
993,c#inaal{,hindi,latin
994,chinaall:,hindi,latin
995,c h i n @ a l,hindi,latin
996,c # i n k,english,latin
997,c#iink,english,latin
998,chin;,english,latin
999,c h i n k@,english,latin
1000,c h i n ;,english,latin
1001,chod@i?,hindi,latin
1002,c h ( d a i,hindi,latin
1003,",hodai",hindi,latin
1004,ch(dai,hindi,latin
1005,ch(da!,hindi,latin
1006,c#oodela,hindi,latin
1007,c h ( d e l a,hindi,latin
1008,chodela|,hindi,latin
1009,chodeela,hindi,latin
1010,ch(di,hindi,latin
1011,", h o d i",hindi,latin
1012,ch(dna,hindi,latin
1013,c#(dna,hindi,latin
1014,ch((dna<,hindi,latin
1015,c h o d n e,hindi,latin
1016,",hodn%",hindi,latin
1017,c # o d o,hindi,latin
1018,chhodo,hindi,latin
1019,cchodu,hindi,latin
